time,open,close,high,low,volume,turnover
1722851280,52010.60000000000000000000,51906.80000000000000000000,52051.30000000000000000000,51853.80000000000000000000,4.52823287000000000000,235259.16756883200000000000
1722855720,51285.00000000000000000000,51014.10000000000000000000,51308.80000000000000000000,50990.00000000000000000000,7.66622699000000000000,391791.38216051800000000000
1722853440,51556.60000000000000000000,51449.40000000000000000000,51588.90000000000000000000,51426.00000000000000000000,4.62939902000000000000,238496.72023997300000000000
1722844860,52669.10000000000000000000,52768.00000000000000000000,52811.00000000000000000000,52669.10000000000000000000,5.08482703000000000000,268174.52898931700000000000
1722896880,54818.80000000000000000000,54958.00000000000000000000,54958.00000000000000000000,54788.00000000000000000000,5.86718694000000000000,322108.80159136500000000000
1722835260,52696.30000000000000000000,52930.30000000000000000000,52976.20000000000000000000,52672.40000000000000000000,4.80519907000000000000,254196.55542499000000000000
1722874740,54903.70000000000000000000,54842.80000000000000000000,54962.00000000000000000000,54842.80000000000000000000,3.88059824000000000000,213037.17430191300000000000
1722867540,53380.30000000000000000000,53641.40000000000000000000,53731.90000000000000000000,53333.30000000000000000000,19.70699615000000000000,1055840.12509843400000000000
1722837960,52392.70000000000000000000,52069.40000000000000000000,52437.00000000000000000000,52009.00000000000000000000,51.73172358000000000000,2695552.61505830000000000000
1722899880,54785.90000000000000000000,54825.70000000000000000000,54832.90000000000000000000,54738.90000000000000000000,4.89863201000000000000,268365.81766931000000000000
1722868560,53418.50000000000000000000,53447.90000000000000000000,53474.90000000000000000000,53243.80000000000000000000,6.51395506000000000000,347767.10864166300000000000
1722890940,53998.10000000000000000000,53861.30000000000000000000,53998.10000000000000000000,53847.30000000000000000000,7.08829728000000000000,382059.11898060400000000000
1722879600,54347.00000000000000000000,54474.20000000000000000000,54502.00000000000000000000,54347.00000000000000000000,2.87188911000000000000,156366.49261881300000000000
1722892080,54304.00000000000000000000,54362.50000000000000000000,54368.50000000000000000000,54277.50000000000000000000,2.13876532000000000000,116193.47021474400000000000
1722827460,54121.20000000000000000000,54186.00000000000000000000,54326.90000000000000000000,54121.20000000000000000000,4.87110144000000000000,264021.27418545400000000000
1722894360,54451.50000000000000000000,54403.00000000000000000000,54452.20000000000000000000,54402.90000000000000000000,0.63003165000000000000,34298.14782915200000000000
1722887640,53042.80000000000000000000,53048.10000000000000000000,53122.00000000000000000000,52981.90000000000000000000,15.14237203000000000000,803430.78768941300000000000
1722856620,51753.90000000000000000000,51816.50000000000000000000,51847.50000000000000000000,51743.60000000000000000000,2.86681989000000000000,148511.77174066200000000000
1722889020,53667.70000000000000000000,53664.60000000000000000000,53692.00000000000000000000,53633.60000000000000000000,2.40365794000000000000,128956.70983108100000000000
1722874500,54952.10000000000000000000,54738.70000000000000000000,54966.20000000000000000000,54725.00000000000000000000,8.37915110000000000000,459777.64856923400000000000
1722880320,54849.10000000000000000000,54828.90000000000000000000,55058.40000000000000000000,54790.20000000000000000000,11.27221609000000000000,618951.45136411900000000000
1722897420,54841.30000000000000000000,54843.60000000000000000000,54848.70000000000000000000,54781.10000000000000000000,2.55293649000000000000,139929.23257282800000000000
1722853800,51170.20000000000000000000,51274.70000000000000000000,51457.00000000000000000000,51158.70000000000000000000,7.23195333000000000000,371340.39274278400000000000
1722877560,54194.00000000000000000000,53998.50000000000000000000,54214.30000000000000000000,53908.00000000000000000000,8.28933190000000000000,447711.48576598100000000000
1722850380,52731.50000000000000000000,52703.00000000000000000000,52743.90000000000000000000,52675.10000000000000000000,5.17574535000000000000,272833.43187061600000000000
1722831480,54556.60000000000000000000,54421.00000000000000000000,54556.60000000000000000000,54414.50000000000000000000,2.71993820000000000000,148237.91744007600000000000
1722895740,54720.00000000000000000000,54671.40000000000000000000,54720.00000000000000000000,54653.50000000000000000000,1.40080068000000000000,76602.51377167100000000000
1722834780,52349.30000000000000000000,52764.50000000000000000000,52855.00000000000000000000,52289.00000000000000000000,16.82728326000000000000,883557.18174227300000000000
1722866280,51965.30000000000000000000,51991.80000000000000000000,52078.00000000000000000000,51917.60000000000000000000,3.20190160000000000000,166432.81227691100000000000
1722852900,51932.20000000000000000000,51746.10000000000000000000,51932.20000000000000000000,51684.10000000000000000000,5.00019241000000000000,258863.06375801600000000000
1722817680,57469.30000000000000000000,57406.50000000000000000000,57493.60000000000000000000,57371.70000000000000000000,2.13691623000000000000,122746.11097691800000000000
1722886140,53327.80000000000000000000,53293.60000000000000000000,53357.60000000000000000000,53203.70000000000000000000,6.61537435000000000000,352374.52784922300000000000
1722891240,53957.90000000000000000000,53927.10000000000000000000,54017.70000000000000000000,53925.30000000000000000000,3.46627986000000000000,187044.28165192000000000000
1722817860,57377.70000000000000000000,57470.80000000000000000000,57544.80000000000000000000,57354.50000000000000000000,3.12042832000000000000,179327.47429243100000000000
1722816540,57963.00000000000000000000,57774.50000000000000000000,57963.00000000000000000000,57774.50000000000000000000,8.33283385000000000000,482031.91568164600000000000
1722838440,51876.70000000000000000000,51592.80000000000000000000,51896.40000000000000000000,51553.50000000000000000000,17.44384321000000000000,901754.42726996100000000000
1722860700,50280.40000000000000000000,50203.90000000000000000000,50296.70000000000000000000,50195.60000000000000000000,3.47126100000000000000,174379.43520212100000000000
1722858360,51215.40000000000000000000,51288.50000000000000000000,51384.90000000000000000000,51176.30000000000000000000,3.10652423000000000000,159355.68276587800000000000
1722872400,54756.80000000000000000000,54904.40000000000000000000,54974.70000000000000000000,54705.20000000000000000000,13.57371029000000000000,744805.77780791100000000000
1722868260,52878.20000000000000000000,53097.50000000000000000000,53187.60000000000000000000,52878.20000000000000000000,8.17302481000000000000,434033.80947177900000000000
1722836700,53146.00000000000000000000,53220.80000000000000000000,53339.30000000000000000000,53101.00000000000000000000,7.90688037000000000000,420723.74024561100000000000
1722816300,58296.50000000000000000000,58299.90000000000000000000,58299.90000000000000000000,58211.50000000000000000000,2.18912609000000000000,127520.98195079100000000000
1722878880,54553.70000000000000000000,54444.80000000000000000000,54586.10000000000000000000,54444.80000000000000000000,1.96776569000000000000,107291.10696631100000000000
1722838140,51710.00000000000000000000,52048.40000000000000000000,52168.00000000000000000000,51661.80000000000000000000,34.81624045000000000000,1806568.39830987700000000000
1722833820,53625.20000000000000000000,53692.80000000000000000000,53742.30000000000000000000,53588.90000000000000000000,6.30035470000000000000,338308.07064587900000000000
